SEC,TOWNSHIP,RNG,TWNRNG,TWNLAB,RNGLAB,MAP_LABEL,TWNRNGSEC,SqFt of UnincKC,Total SqFt Section
01,19,06,1906,T.19N,R.06E,T.19N R.06E,190601,"13,727,583","26,139,501"
02,19,06,1906,T.19N,R.06E,T.19N R.06E,190602,"186,499","27,338,409"
01,19,07,1907,T.19N,R.07E,T.19N R.07E,190701,"27,749,251","27,749,251"
02,19,07,1907,T.19N,R.07E,T.19N R.07E,190702,"27,618,849","27,618,849"
03,19,07,1907,T.19N,R.07E,T.19N R.07E,190703,"27,764,331","27,764,331"
04,19,07,1907,T.19N,R.07E,T.19N R.07E,190704,"27,428,140","27,428,140"
05,19,07,1907,T.19N,R.07E,T.19N R.07E,190705,"27,820,721","27,820,721"
06,19,07,1907,T.19N,R.07E,T.19N R.07E,190706,"26,852,590","28,598,575"
07,19,07,1907,T.19N,R.07E,T.19N R.07E,190707,"79,912","28,727,053"
08,19,07,1907,T.19N,R.07E,T.19N R.07E,190708,"25,983,673","27,766,548"
09,19,07,1907,T.19N,R.07E,T.19N R.07E,190709,"18,181,983","27,963,630"
10,19,07,1907,T.19N,R.07E,T.19N R.07E,190710,"7,373,566","27,138,774"
11,19,07,1907,T.19N,R.07E,T.19N R.07E,190711,"8,262,646","27,989,205"
12,19,07,1907,T.19N,R.07E,T.19N R.07E,190712,"14,480,670","27,083,779"
16,19,07,1907,T.19N,R.07E,T.19N R.07E,190716,"174,132","27,523,951"
17,19,07,1907,T.19N,R.07E,T.19N R.07E,190717,"3,268,328","27,749,602"
01,19,08,1908,T.19N,R.08E,T.19N R.08E,190801,"21,461,241","26,701,180"
02,19,08,1908,T.19N,R.08E,T.19N R.08E,190802,"10,433,976","26,224,826"
03,19,08,1908,T.19N,R.08E,T.19N R.08E,190803,"3,494,904","27,254,054"
04,19,08,1908,T.19N,R.08E,T.19N R.08E,190804,"599,658","27,806,984"
05,19,08,1908,T.19N,R.08E,T.19N R.08E,190805,"18,792,977","26,972,195"
06,19,08,1908,T.19N,R.08E,T.19N R.08E,190806,"26,699,828","26,699,828"
07,19,08,1908,T.19N,R.08E,T.19N R.08E,190807,"16,899,520","27,069,508"
08,19,08,1908,T.19N,R.08E,T.19N R.08E,190808,"771,010","26,762,642"
12,19,08,1908,T.19N,R.08E,T.19N R.08E,190812,"1,264,521","28,543,141"
01,19,09,1909,T.19N,R.09E,T.19N R.09E,190901,"28,601,980","28,601,980"
02,19,09,1909,T.19N,R.09E,T.19N R.09E,190902,"28,166,720","28,166,720"
03,19,09,1909,T.19N,R.09E,T.19N R.09E,190903,"27,076,196","27,743,813"
04,19,09,1909,T.19N,R.09E,T.19N R.09E,190904,"26,088,061","28,487,562"
